cal_yr,age_yr,sex,N,x,h,pt,age_m,age_s,rate
2016,83,2,1160,253,60,874.3134839151267,83,0,28.936989381323528
2016,84,1,563,180,49,386.9486652977413,84,0,46.51779839103394
2016,84,2,1244,288,59,930.6173853524983,84,0,30.947197476964355
2016,85,1,586,172,39,397.8945927446954,85,0,43.227528882344444
2016,85,2,1391,330,52,1034.3381245722107,85,0,31.90446065559885
2016,86,1,570,197,54,376.1533196440794,86,0,52.37226144552005
2016,86,2,1498,417,69,1088.950034223135,86,0,38.29376802375427
2016,87,1,564,200,44,360.4407939767283,87,0,55.487614982035836
2016,87,2,1555,394,61,1158.075290896646,87,0,34.021967578199806
2016,88,1,554,196,42,367.37303216974675,88,0,53.3517658719808
2016,88,2,1538,406,73,1130.9705681040384,88,0,35.898370077005566
2016,89,1,467,182,33,309.30869267624917,89,0,58.84089400309803
2016,89,2,1449,425,74,1045.990417522245,89,0,40.63134736996398
2016,90,1,451,181,41,296.6762491444216,90,0,61.00926532608596
2016,90,2,1516,463,63,1090.7323750855578,90,0,42.44854288511258
2016,91,1,407,159,32,248.0766598220397,91,0,64.09309127027922
2016,91,2,1415,443,66,1015.3511293634497,91,0,43.63022674507964
2016,92,1,322,115,24,210.52156057494867,92,0,54.62623385743826
2016,92,2,1268,391,54,923.5975359342916,92,0,42.33445681559476
2016,93,1,290,128,30,180.91170431211498,93,0,70.75274675383638
2016,93,2,1137,362,41,841.0595482546202,93,0,43.04094766550455
2016,94,1,240,107,23,148.01095140314854,94,0,72.29194798468396
2016,94,2,965,332,53,690.5407255304586,94,0,48.078265006740146
2016,95,1,212,92,19,130.23682409308694,95,0,70.64054321091467
2016,95,2,819,297,38,587.3237508555784,95,0,50.5683619242961
2016,96,1,152,73,13,95.13483915126626,96,0,76.73319327731092
2016,96,2,730,245,39,524.9691991786448,96,0,46.669404678088085
2016,97,1,116,51,8,73.94113620807666,97,0,68.97378457436962
2016,97,2,508,193,27,356.2381930184805,97,0,54.17723416028774
2016,98,1,61,36,3,34.666666666666664,98,0,103.84615384615385
2016,98,2,302,128,15,209.45106091718,98,0,61.112127787508825
2016,99,1,23,14,2,11.80287474332649,99,0,118.6151704940849
2016,99,2,225,86,9,156.9472963723477,99,0,54.79546445704318
