cal_yr,age_yr,sex,N,x,pt,age_m,age_s,rate
2016,88,2,1565,430,1154.95961670089,88,0,37.23073896109745
2016,89,1,491,168,334.1163586584531,89,0,50.28188403421941
2016,89,2,1573,427,1178.0013689253935,89,0,36.247835636177705
2016,90,1,467,185,296.39698836413413,90,0,62.416288715026006
2016,90,2,1549,455,1143.6824093086927,90,0,39.783771814329825
2016,91,1,432,184,275.78097193702945,91,0,66.7196140138391
2016,91,2,1471,422,1098.6666666666667,91,0,38.41019417475728
2016,92,1,358,146,230.5325119780972,92,0,63.331631077646605
2016,92,2,1327,406,972.8350444900753,92,0,41.73369393912103
2016,93,1,300,133,203.94524298425736,93,0,65.21358284893476
2016,93,2,1155,370,848.9199178644764,93,0,43.584794303185106
2016,94,1,262,112,171.18685831622176,94,0,65.42558295748968
2016,94,2,1090,391,781.2265571526352,94,0,50.049501827624994
2016,95,1,221,94,154.0889801505818,95,0,61.00371350899949
2016,95,2,885,284,644.9691991786448,95,0,44.03311047437122
2016,96,1,171,89,107.73169062286105,96,0,82.61264581056697
2016,96,2,755,282,526.4421629021218,96,0,53.56713802052184
2016,97,1,88,38,57.80698151950719,97,0,65.73600454674623
2016,97,2,407,155,298.031485284052,97,0,52.00792790475491
2016,98,1,41,22,21.470225872689937,98,0,102.46748278500382
2016,98,2,312,112,228.46269678302534,98,0,49.02332047072358
2016,99,1,39,20,24.725530458590008,99,0,80.88805226442254
2016,99,2,230,92,169.38261464750173,99,0,54.314901320574776
2016,ge100,1,85,43,52.94455852156057,101.51764705882353,3.59103302787414,81.2170338194229
2016,ge100,2,445,207,299.2060232717317,101.42247191011236,1.5499021190388356,69.18309923594272
2017,70,1,268,47,202.4065708418891,70,0,23.22059002556507
2017,70,2,253,39,195.26078028747432,70,0,19.97328902536491
2017,71,1,198,42,151.38124572210813,71,0,27.74452000289373
2017,71,2,241,36,177.70841889117042,71,0,20.257903494176375
2017,72,1,231,45,170.507871321013,72,0,26.391743472815442
2017,72,2,255,32,196.65434633812458,72,0,16.27220582502645
2017,73,1,265,55,196.64065708418892,73,0,27.969800760202162
2017,73,2,346,66,256.62696783025325,73,0,25.718263578462228
2017,74,1,314,62,241.90006844626967,74,0,25.63041854358603
2017,74,2,371,73,278.6009582477755,74,0,26.202350652030777
2017,75,1,338,87,251.01984941820672,75,0,34.65861373179909
2017,75,2,422,70,310.1492128678987,75,0,22.569781606963154
2017,76,1,359,100,254.51334702258728,76,0,39.29067028108562
2017,76,2,500,89,363.52087611225187,76,0,24.482775501596674
2017,77,1,378,97,276.9253935660507,77,0,35.027484749918436
2017,77,2,531,118,378.8692676249144,77,0,31.145307915769394
2017,78,1,464,101,331.1375770020534,78,0,30.500917749776765
2017,78,2,696,151,516.0246406570842,78,0,29.26216852895298
2017,79,1,477,125,332.331279945243,79,0,37.6130709154419
2017,79,2,752,138,570.5325119780972,79,0,24.1879291894408
2017,80,1,494,139,336.31211498973306,80,0,41.33065500903629
2017,80,2,836,187,600.1177275838467,80,0,31.160552572390543
2017,81,1,492,150,329.95756331279944,81,0,45.460391480040165
2017,81,2,904,189,674.6036960985626,81,0,28.016448930393388
2017,82,1,573,170,384.3422313483915,82,0,44.231413082967066
2017,82,2,1005,234,719.4250513347023,82,0,32.52597328462153
2017,83,1,538,178,355.91238877481175,83,0,50.01230797633792
2017,83,2,1160,267,845.7357973990418,83,0,31.570142924199995
2017,84,1,584,194,387.8904859685147,84,0,50.014116617376146
2017,84,2,1247,297,917.1197809719371,84,0,32.38399238158924
2017,85,1,610,201,396.70636550308006,85,0,50.667198078635174
2017,85,2,1433,329,1046.592744695414,85,0,31.435341174254713
2017,86,1,574,187,372.18343600273784,86,0,50.24404148889216
2017,86,2,1485,396,1066.94045174538,86,0,37.11547344110854
2017,87,1,566,193,357.92470910335385,87,0,53.92195483890708
2017,87,2,1569,417,1134.3271731690622,87,0,36.76188051062844
2017,88,1,554,191,364.4079397672827,88,0,52.41378662659654
2017,88,2,1579,429,1131.9288158795346,88,0,37.8999097806921
2017,89,1,483,180,313.09787816564,89,0,57.49000953138799
2017,89,2,1490,443,1052.4298425735797,89,0,42.09306711758585
2017,90,1,466,181,291.46611909650926,90,0,62.0998421912867
2017,90,2,1497,455,1054.2149212867898,90,0,43.160079677550044
2017,91,1,420,173,251.3949349760438,91,0,68.81602448215025
2017,91,2,1424,453,1001.1772758384668,91,0,45.24673211551083
2017,92,1,350,127,215.17590691307325,92,0,59.02147773974781
2017,92,2,1332,422,943.6249144421629,92,0,44.72115917472052
2017,93,1,291,140,172.41067761806983,93,0,81.2014672955076
2017,93,2,1138,368,814.6830937713895,93,0,45.17093859115548
2017,94,1,234,94,148.78302532511978,94,0,63.179250317428185
2017,94,2,968,331,674.1601642710473,94,0,49.098124977156154
2017,95,1,206,91,124.16427104722793,95,0,73.29000463054838
2017,95,2,841,291,587.1156741957564,95,0,49.5643384753129
2017,96,1,159,80,101.13073237508556,96,0,79.10552818235963
2017,96,2,727,248,518.7652292950035,96,0,47.80582544767494
2017,97,1,106,43,69.14715947980835,97,0,62.18621317706683
2017,97,2,542,210,375.9890485968515,97,0,55.85269059928639
2017,98,1,67,34,35.00068446269678,98,0,97.14095744680851
2017,98,2,279,111,196.31211498973306,98,0,56.54261327977909
2017,99,1,27,18,11.824777549623546,99,0,152.2227367446168
2017,99,2,233,86,163.89322381930185,99,0,52.473188333166284
2017,ge100,1,72,44,38.757015742642025,101.70833333333333,3.9483906509354374,113.52783272110766
2017,ge100,2,424,187,284.5530458590007,101.46462264150944,1.6195243001939719,65.71709659107309
2018,70,1,252,48,186.69130732375086,70,0,25.7108917860652
2018,70,2,205,30,163.52361396303903,70,0,18.34597418253051
2018,71,1,289,52,219.62217659137576,71,0,23.67702606679382
2018,71,2,305,55,225.2375085557837,71,0,24.418668254971557
2018,72,1,239,41,171.79739904175221,72,0,23.865320562877496
2018,72,2,274,47,210.6776180698152,72,0,22.30896686159844
2018,73,1,256,49,188.67898699520876,73,0,25.97003555104114
2018,73,2,324,42,250.58453114305271,73,0,16.76081113563359
2018,74,1,305,60,226.37371663244352,74,0,26.504843801023185
2018,74,2,393,70,293.7385352498289,74,0,23.83071732160167
2018,75,1,345,92,244.82409308692675,75,0,37.578000939366156
2018,75,2,453,77,325.4811772758385,75,0,23.65728201073333
2018,76,1,360,90,257.1334702258727,76,0,35.00127771034306
2018,76,2,497,93,371.27173169062286,76,0,25.049038766435363
2018,77,1,375,85,264.49281314168377,77,0,32.136979069623
2018,77,2,586,109,428.09856262833677,77,0,25.46142629650237
2018,78,1,412,103,291.5811088295688,78,0,35.32464788732394
2018,78,2,632,136,452.5037645448323,78,0,30.05499857814457
2018,79,1,518,137,359.0444900752909,79,0,38.15683119695595
2018,79,2,744,147,547.2005475701575,79,0,26.864008205538735
2018,80,1,495,151,342.6338124572211,80,0,44.0703732410685
2018,80,2,874,178,648.4654346338125,80,0,27.449419890902334
2018,81,1,509,160,348.394250513347,81,0,45.924982907796405
2018,81,2,992,224,700.1232032854209,81,0,31.99436884091976
2018,82,1,542,152,355.4688569472964,82,0,42.76042669542111
2018,82,2,1067,228,757.1718001368926,82,0,30.112056465755703
2018,83,1,607,211,396.09582477754964,83,0,53.269937929413715
2018,83,2,1110,230,814.3299110198494,83,0,28.24408103982732
2018,84,1,573,189,367.3949349760438,84,0,51.44327861033899
2018,84,2,1262,280,924.5776865160849,84,0,30.28409662957282
2018,85,1,604,209,393.0376454483231,85,0,53.175567892892715
2018,85,2,1331,309,968.9253935660506,85,0,31.8910002825657
2018,86,1,625,190,407.55099247091033,86,0,46.619933090596405
2018,86,2,1526,388,1095.4770704996577,86,0,35.4183588546522
2018,87,1,585,172,394.92128678986995,87,0,43.55298277236646
2018,87,2,1520,394,1076.8350444900752,87,0,36.5887052075441
2018,88,1,571,197,358.8692676249144,88,0,54.89464208060911
2018,88,2,1589,452,1124.3367556468172,88,0,40.20147858102975
2018,89,1,556,207,363.39767282683096,89,0,56.96239009726439
2018,89,2,1547,419,1119.2580424366872,89,0,37.43551389524203
2018,90,1,444,167,284.8678986995209,90,0,58.62366407811779
2018,90,2,1450,433,997.1143052703628,90,0,43.42531219453261
2018,91,1,432,181,269.4455852156058,91,0,67.1749733272367
2018,91,2,1371,431,964.7802874743327,91,0,44.6733837326114
2018,92,1,355,152,223.90691307323752,92,0,67.88535374532293
2018,92,2,1286,411,892.8049281314169,92,0,46.034692131482345
2018,93,1,307,121,196.766598220397,93,0,61.49417690520252
2018,93,2,1169,378,827.8001368925394,93,0,45.66319612110308
2018,94,1,220,81,141.87816563997262,94,0,57.091237143243085
2018,94,2,1000,354,677.1991786447638,94,0,52.27413310046211
2018,95,1,203,100,112.10130047912389,95,0,89.20503113933324
2018,95,2,807,289,549.1553730321698,95,0,52.62627194272581
2018,96,1,155,71,95.54277891854893,96,0,74.31226179900851
2018,96,2,678,259,464.09856262833677,96,0,55.80711100099108
2018,97,1,108,47,70.43668720054757,97,0,66.7265907412446
2018,97,2,603,213,413.8672142368241,97,0,51.46578242317997
2018,98,1,84,40,49.29774127310061,98,0,81.13962012662446
2018,98,2,420,160,290.0999315537303,98,0,55.153408393812704
2018,99,1,42,18,30.8911704312115,99,0,58.26907737303908
2018,99,2,211,75,144.9637234770705,99,0,51.73708166502985
2018,ge100,1,53,28,30.817248459958932,102.30188679245283,4.668161002020361,90.85820895522389
2018,ge100,2,440,198,287.3894592744695,101.48181818181818,1.685969534074718,68.89605502576951
