hb,location,month_label,deaths,pats,crd_rate,sex
Scotland,Scot,2011M02,1315,260643,5.045215102649984,1
Scotland,Scot,2011M02,1750,371308,4.7130683960485635,2
Scotland,Scot,2011M03,1503,260643,5.766508212382455,1
Scotland,Scot,2011M03,1920,371308,5.170909325950424,2
Scotland,Scot,2011M04,1335,260643,5.121948412195992,1
Scotland,Scot,2011M04,1742,371308,4.69152294052377,2
Scotland,Scot,2011M05,1392,260643,5.340638344402113,1
Scotland,Scot,2011M05,1840,371308,4.95545477070249,2
Scotland,Scot,2011M06,1340,260643,5.1411317395824945,1
Scotland,Scot,2011M06,1670,371308,4.4976138408006285,2
Scotland,Scot,2011M07,1379,260643,5.290761693197209,1
Scotland,Scot,2011M07,1632,371308,4.395272927057861,2
Scotland,Scot,2011M08,1311,260643,5.029868440740783,1
Scotland,Scot,2011M08,1626,371308,4.379113835414265,2
Scotland,Scot,2011M09,1349,260643,5.175661728878197,1
Scotland,Scot,2011M09,1739,371308,4.683443394701972,2
Scotland,Scot,2011M10,1462,260643,5.609204927813139,1
Scotland,Scot,2011M10,1855,371308,4.995852499811477,2
Scotland,Scot,2011M11,1324,260643,5.079745091945688,1
Scotland,Scot,2011M11,1797,371308,4.839647947256725,2
Scotland,Scot,2011M12,1641,260643,6.295968048249905,1
Scotland,Scot,2011M12,2086,371308,5.617977528089887,2
Scotland,Scot,2012M01,1588,265620,5.978465476997214,1
Scotland,Scot,2012M01,2121,374376,5.665427270978909,2
Scotland,Scot,2012M02,1370,265620,5.157744145772155,1
Scotland,Scot,2012M02,1902,374376,5.080453875248414,2
Scotland,Scot,2012M03,1438,265620,5.413748964686395,1
Scotland,Scot,2012M03,1936,374376,5.171271662713422,2
Scotland,Scot,2012M04,1459,265620,5.4928092764099095,1
Scotland,Scot,2012M04,1894,374376,5.059084984080176,2
Scotland,Scot,2012M05,1496,265620,5.632106016113245,1
Scotland,Scot,2012M05,1983,374376,5.296813898326816,2
